gene_id	gene_version	gene_name	gene_biotype	gene_source	location	S_2_Rem_5dpi_S70001	S_2_SARS_5dpi_S70003	S_2_mock_5dpi_S70002	S_3_Rem_5dpi_S69995	S_3_SARS_5dpi_S69996	S_3_mock_5dpi_S69997
ENSG00000187583	11	PLEKHN1	protein_coding	ensembl_havana	chr1:966482-975865:+	106	159	82	74	237	0
ENSG00000187642	9	PERM1	protein_coding	ensembl_havana	chr1:975204-982093:-	0	11	7	0	0	0
ENSG00000272512	1	AL645608.7	lncRNA	havana	chr1:995966-998051:-	0	0	0	0	0	1
ENSG00000188290	11	HES4	protein_coding	ensembl_havana	chr1:998962-1000172:-	618	711	634	708	2169	745
ENSG00000187608	10	ISG15	protein_coding	ensembl_havana	chr1:1001138-1014540:+	608	1570	655	1374	45966	1078
ENSG00000231702	2	AL645608.3	processed_pseudogene	havana	chr1:1008076-1008229:-	0	0	5	0	0	0
ENSG00000224969	1	AL645608.1	lncRNA	havana	chr1:1011997-1013193:-	2	0	0	0	0	0
ENSG00000188157	15	AGRN	protein_coding	ensembl_havana	chr1:1020120-1056118:+	3392	3857	2139	3167	7542	3879
ENSG00000242590	1	AL645608.5	lncRNA	havana	chr1:1055033-1056116:+	0	0	0	0	0	0
ENSG00000217801	10	AL390719.1	transcribed_unprocessed_pseudogene	havana	chr1:1059708-1069355:+	340	413	428	190	431	401
ENSG00000273443	1	AL645608.8	lncRNA	havana	chr1:1062208-1063288:-	10	7	13	0	0	15
ENSG00000237330	3	RNF223	protein_coding	ensembl_havana	chr1:1070967-1074306:-	30	35	37	1	0	3
ENSG00000131591	17	C1orf159	protein_coding	ensembl_havana	chr1:1081818-1116361:-	311	368	221	753	577	315
ENSG00000285812	1	AL390719.3	lncRNA	havana	chr1:1097585-1104598:+	0	2	0	0	0	0
ENSG00000223823	1	LINC01342	lncRNA	havana	chr1:1137017-1144056:+	0	0	0	0	0	0
ENSG00000207730	3	MIR200B	miRNA	mirbase	chr1:1167104-1167198:+	0	0	0	0	0	0
ENSG00000207607	3	MIR200A	miRNA	mirbase	chr1:1167863-1167952:+	0	0	0	0	0	0
ENSG00000198976	1	MIR429	miRNA	mirbase	chr1:1169005-1169087:+	0	0	0	0	0	0
ENSG00000272141	1	AL390719.2	lncRNA	havana	chr1:1169357-1170343:+	0	0	0	0	0	0
ENSG00000205231	1	TTLL10-AS1	lncRNA	havana	chr1:1173056-1179555:-	0	0	1	0	0	0
ENSG00000162571	14	TTLL10	protein_coding	ensembl_havana	chr1:1173880-1197936:+	0	1	0	0	0	0
ENSG00000186891	14	TNFRSF18	protein_coding	ensembl_havana	chr1:1203508-1206592:-	26	38	14	0	0	0
ENSG00000186827	11	TNFRSF4	protein_coding	ensembl_havana	chr1:1211340-1214153:-	0	0	0	0	0	0
ENSG00000078808	18	SDF4	protein_coding	ensembl_havana	chr1:1216908-1232067:-	2682	2605	3165	5275	6001	4944
ENSG00000176022	7	B3GALT6	protein_coding	ensembl_havana	chr1:1232237-1235041:+	83	143	64	26	309	136
ENSG00000184163	3	C1QTNF12	protein_coding	ensembl_havana	chr1:1242446-1246722:-	3	8	0	41	0	0
ENSG00000260179	1	AL162741.1	lncRNA	havana	chr1:1249777-1251334:-	0	0	0	0	0	0
ENSG00000160087	21	UBE2J2	protein_coding	ensembl_havana	chr1:1253909-1273864:-	715	847	554	1359	772	1057
ENSG00000230415	1	LINC01786	lncRNA	havana	chr1:1275223-1280420:+	0	0	0	0	0	1
ENSG00000162572	21	SCNN1D	protein_coding	ensembl_havana	chr1:1280436-1292029:+	0	0	1	0	0	1
ENSG00000131584	19	ACAP3	protein_coding	ensembl_havana	chr1:1292390-1309609:-	584	387	767	1089	382	864
ENSG00000278073	1	MIR6726	miRNA	mirbase	chr1:1296110-1296170:-	0	0	0	0	0	0
ENSG00000169972	12	PUSL1	protein_coding	ensembl_havana	chr1:1308597-1311677:+	659	655	581	952	474	319
ENSG00000127054	21	INTS11	protein_coding	ensembl_havana	chr1:1311585-1324687:-	2253	2612	1941	2070	2299	2950
ENSG00000283712	1	MIR6727	miRNA	mirbase	chr1:1312502-1312566:-	0	0	0	0	0	0
ENSG00000240731	1	AL139287.1	lncRNA	havana	chr1:1317581-1318689:-	1	0	0	0	0	0
ENSG00000224051	7	CPTP	protein_coding	ensembl_havana	chr1:1324756-1328896:+	145	198	201	244	481	192
ENSG00000169962	5	TAS1R3	protein_coding	ensembl_havana	chr1:1331280-1335314:+	0	0	0	0	0	0
ENSG00000107404	20	DVL1	protein_coding	ensembl_havana	chr1:1335276-1349418:-	23	46	14	2	1	105
ENSG00000284372	1	MIR6808	miRNA	mirbase	chr1:1339650-1339708:-	0	0	0	0	0	0
ENSG00000162576	16	MXRA8	protein_coding	ensembl_havana	chr1:1352689-1361777:-	40	43	5	1	0	104
ENSG00000175756	13	AURKAIP1	protein_coding	ensembl_havana	chr1:1373730-1375495:-	4118	5354	3856	5273	4432	4434
ENSG00000223663	2	NDUFB4P8	processed_pseudogene	havana	chr1:1378666-1379032:+	0	0	0	0	0	0
ENSG00000221978	12	CCNL2	protein_coding	ensembl_havana	chr1:1385711-1399335:-	669	582	1159	2135	2135	1217
ENSG00000224870	7	MRPL20-AS1	lncRNA	havana	chr1:1399520-1402046:+	365	474	249	506	202	482
ENSG00000242485	6	MRPL20	protein_coding	ensembl_havana	chr1:1401909-1407293:-	1188	1563	1229	1582	2213	1738
ENSG00000264293	2	RN7SL657P	misc_RNA	ensembl	chr1:1405460-1405752:-	0	0	0	0	0	0
ENSG00000272455	1	AL391244.2	lncRNA	havana	chr1:1409096-1410618:+	1	4	0	8	0	0
ENSG00000235098	8	ANKRD65	protein_coding	ensembl_havana	chr1:1418420-1421769:-	381	589	358	345	1068	302
ENSG00000225905	1	AL391244.1	lncRNA	havana	chr1:1420245-1422691:+	6	0	0	0	0	0
ENSG00000205116	3	TMEM88B	protein_coding	ensembl_havana	chr1:1426128-1427787:+	0	0	0	0	0	0
ENSG00000225285	1	LINC01770	lncRNA	havana	chr1:1430539-1434573:-	57	111	48	75	0	0
ENSG00000179403	12	VWA1	protein_coding	ensembl_havana	chr1:1434861-1442882:+	375	411	353	269	877	842
ENSG00000215915	10	ATAD3C	protein_coding	ensembl_havana	chr1:1449689-1470163:+	63	98	97	124	91	215
ENSG00000160072	20	ATAD3B	protein_coding	ensembl_havana	chr1:1471765-1497848:+	138	143	150	244	85	194
ENSG00000284740	1	AL645728.2	transcribed_unprocessed_pseudogene	havana	chr1:1503250-1509452:+	9	14	14	11	9	16
ENSG00000197785	14	ATAD3A	protein_coding	ensembl_havana	chr1:1512162-1534685:+	425	354	279	755	276	417
ENSG00000205090	9	TMEM240	protein_coding	ensembl_havana	chr1:1534778-1540624:-	0	0	0	0	0	0
ENSG00000160075	12	SSU72	protein_coding	ensembl_havana	chr1:1541673-1574863:-	5297	6770	4753	7694	7482	4829
ENSG00000215014	5	AL645728.1	lncRNA	havana	chr1:1574102-1577075:+	5	10	0	0	1	1
ENSG00000274481	1	AL691432.3	processed_pseudogene	havana	chr1:1583510-1583909:-	0	0	0	0	0	0
ENSG00000228594	4	FNDC10	protein_coding	ensembl_havana	chr1:1598012-1600135:-	0	14	35	20	0	0
ENSG00000286989	1	AL691432.4	lncRNA	havana_tagene	chr1:1600314-1602703:+	0	0	0	0	0	0
ENSG00000272106	1	AL691432.2	lncRNA	havana	chr1:1613758-1615795:-	28	10	5	0	0	1
ENSG00000197530	12	MIB2	protein_coding	ensembl_havana	chr1:1615415-1630610:+	300	340	209	142	360	608
ENSG00000189409	14	MMP23B	protein_coding	ensembl_havana	chr1:1632163-1635263:+	2	4	0	0	0	17
ENSG00000248333	8	CDK11B	protein_coding	ensembl_havana	chr1:1635227-1659012:-	302	292	254	446	396	156
ENSG00000272004	1	FO704657.1	lncRNA	havana	chr1:1659325-1662602:+	0	0	0	0	0	0
ENSG00000189339	12	SLC35E2B	protein_coding	ensembl_havana	chr1:1659529-1692795:-	448	507	570	796	762	1239
ENSG00000269737	2	AL691432.1	transcribed_processed_pseudogene	havana	chr1:1671990-1674397:+	26	11	5	1	7	10
ENSG00000215914	4	MMP23A	unprocessed_pseudogene	havana	chr1:1699942-1701782:+	7	8	0	2	0	28
ENSG00000008128	23	CDK11A	protein_coding	ensembl_havana	chr1:1702379-1724357:-	14	23	20	2	11	33
ENSG00000268575	1	AL031282.2	lncRNA	havana	chr1:1702736-1737688:-	52	35	29	10	26	44
ENSG00000227775	3	AL031282.1	transcribed_processed_pseudogene	havana	chr1:1724512-1737251:+	4	3	3	0	0	4
ENSG00000215790	7	SLC35E2A	protein_coding	ensembl_havana	chr1:1724838-1745999:-	212	271	379	372	558	617
ENSG00000008130	15	NADK	protein_coding	ensembl_havana	chr1:1751232-1780457:-	130	168	194	29	449	196
ENSG00000078369	18	GNB1	protein_coding	ensembl_havana	chr1:1785285-1891117:-	1019	793	1039	1813	925	962
ENSG00000231050	1	AL109917.1	lncRNA	havana	chr1:1891471-1892658:+	0	0	6	0	0	0
ENSG00000169885	10	CALML6	protein_coding	ensembl_havana	chr1:1915108-1917296:+	0	0	0	0	0	0
ENSG00000178821	13	TMEM52	protein_coding	ensembl_havana	chr1:1917590-1919279:-	0	3	9	0	0	0
ENSG00000142609	18	CFAP74	protein_coding	ensembl_havana	chr1:1921951-2003837:-	0	1	0	0	0	0
ENSG00000233542	2	AL391845.2	lncRNA	havana	chr1:2013213-2015639:-	0	10	1	0	0	0
ENSG00000187730	9	GABRD	protein_coding	ensembl_havana	chr1:2019329-2030758:+	0	0	0	0	0	0
ENSG00000226969	1	AL391845.1	lncRNA	havana	chr1:2049203-2050070:-	0	0	0	0	119	0
ENSG00000067606	17	PRKCZ	protein_coding	ensembl_havana	chr1:2050411-2185395:+	354	327	285	681	378	403
ENSG00000271806	1	AL590822.2	lncRNA	havana	chr1:2141084-2145279:-	1	0	1	0	0	0
ENSG00000182873	5	PRKCZ-AS1	lncRNA	havana	chr1:2181794-2184389:-	2	7	0	0	0	0
ENSG00000162585	17	FAAP20	protein_coding	ensembl_havana	chr1:2184461-2212720:-	297	394	391	516	752	288
ENSG00000234396	3	AL590822.1	lncRNA	havana	chr1:2212523-2220738:+	0	2	3	0	0	0
ENSG00000157933	10	SKI	protein_coding	ensembl_havana	chr1:2228319-2310213:+	0	32	1	0	0	0
ENSG00000287356	1	AL590822.3	lncRNA	havana	chr1:2315040-2323085:+	0	1	0	0	0	0
ENSG00000116151	14	MORN1	protein_coding	ensembl_havana	chr1:2321253-2391707:-	59	77	69	187	228	61
ENSG00000272161	1	AL589739.1	lncRNA	havana	chr1:2326201-2326693:-	0	0	0	0	0	0
ENSG00000269896	2	AL513477.1	transcribed_processed_pseudogene	havana	chr1:2350414-2352820:-	1	0	0	0	2	0
ENSG00000272420	1	AL513477.2	lncRNA	havana	chr1:2363061-2363628:-	0	0	1	2	0	0
ENSG00000157916	20	RER1	protein_coding	ensembl_havana	chr1:2391775-2405442:+	1810	2682	2500	2473	3585	2268
ENSG00000157911	11	PEX10	protein_coding	ensembl_havana	chr1:2403964-2413797:-	568	609	543	700	1260	628
ENSG00000149527	18	PLCH2	protein_coding	ensembl_havana	chr1:2425980-2505532:+	29	19	53	0	48	0
ENSG00000224387	1	AL139246.1	lncRNA	havana	chr1:2492300-2493258:-	0	0	0	0	0	0
ENSG00000229393	1	AL139246.4	lncRNA	havana	chr1:2493437-2494479:-	0	0	0	0	0	0
ENSG00000157881	16	PANK4	protein_coding	ensembl_havana	chr1:2508537-2526597:-	64	42	102	295	1032	438
ENSG00000197921	6	HES5	protein_coding	ensembl_havana	chr1:2528745-2530263:-	3	0	0	0	0	0
ENSG00000272449	2	AL139246.5	lncRNA	havana	chr1:2530064-2547460:+	5	8	2	0	0	0
ENSG00000238164	6	TNFRSF14-AS1	lncRNA	havana	chr1:2549920-2557031:-	5	15	17	15	39	10
ENSG00000157873	17	TNFRSF14	protein_coding	ensembl_havana	chr1:2555639-2565382:+	334	512	439	425	1236	256
ENSG00000225931	3	AL139246.2	TEC	havana	chr1:2566410-2569888:+	0	0	0	0	0	0
ENSG00000228037	1	AL139246.3	lncRNA	havana	chr1:2581560-2584533:+	7	0	0	0	0	51
ENSG00000157870	17	PRXL2B	protein_coding	ensembl_havana	chr1:2586491-2591469:+	1079	946	869	1724	1015	1027
ENSG00000142606	16	MMEL1	protein_coding	ensembl_havana	chr1:2590639-2633016:-	86	151	72	123	427	170
ENSG00000237058	1	MMEL1-AS1	lncRNA	havana	chr1:2632568-2636620:+	0	0	0	0	0	0
ENSG00000215912	12	TTC34	protein_coding	ensembl_havana	chr1:2635976-2801717:-	0	26	0	0	0	0
ENSG00000285945	1	AC242022.2	lncRNA	havana	chr1:2768091-2784733:+	0	1	2	0	0	0
ENSG00000283259	1	AC242022.1	lncRNA	havana	chr1:2773603-2776473:+	0	2	0	0	0	0
ENSG00000233234	1	AL592464.2	lncRNA	havana	chr1:2811850-2812692:-	0	0	0	0	0	0
ENSG00000287396	1	AL592464.3	lncRNA	havana_tagene	chr1:2814056-2817767:+	0	0	0	0	0	0
ENSG00000231630	1	AL592464.1	lncRNA	havana	chr1:2814432-2814998:-	0	0	0	0	0	0
ENSG00000284745	1	AL589702.1	lncRNA	havana	chr1:2960658-2968707:-	0	0	0	0	0	0
ENSG00000169717	7	ACTRT2	protein_coding	ensembl_havana	chr1:3021467-3022903:+	0	0	0	0	0	0
ENSG00000177133	11	PRDM16-DT	lncRNA	ensembl_havana	chr1:3059615-3068437:-	0	0	0	0	0	0
ENSG00000142611	17	PRDM16	protein_coding	ensembl_havana	chr1:3069168-3438621:+	169	257	294	224	556	365
ENSG00000283572	1	MIR4251	miRNA	mirbase	chr1:3127975-3128035:+	0	0	0	0	0	0
ENSG00000226286	1	AL008733.1	lncRNA	havana	chr1:3132927-3133709:-	0	0	1	0	0	23
ENSG00000279839	1	AL512383.1	TEC	havana	chr1:3205988-3208664:+	0	1	37	0	0	0
ENSG00000272235	1	AL590438.1	lncRNA	havana	chr1:3306636-3310096:-	1	11	0	0	0	0
ENSG00000287828	1	AL354743.2	lncRNA	havana_tagene	chr1:3313052-3323149:-	30	14	1	0	0	2
ENSG00000286518	1	AL354743.1	lncRNA	havana_tagene	chr1:3367815-3373928:-	0	1	0	0	0	0
ENSG00000130762	15	ARHGEF16	protein_coding	ensembl_havana	chr1:3454665-3481113:+	299	440	359	652	277	1311
ENSG00000272088	1	AL512413.1	lncRNA	havana	chr1:3487246-3487627:+	0	0	0	0	0	0
ENSG00000162591	16	MEGF6	protein_coding	ensembl_havana	chr1:3487951-3611508:-	160	147	144	103	329	237
ENSG00000207776	1	MIR551A	miRNA	mirbase	chr1:3560695-3560790:-	0	0	0	0	0	0
ENSG00000238260	1	AL513320.1	lncRNA	havana	chr1:3623190-3624743:-	0	0	0	0	0	0
ENSG00000158109	15	TPRG1L	protein_coding	ensembl_havana	chr1:3625015-3630127:+	48	69	99	148	124	25
ENSG00000116213	16	WRAP73	protein_coding	ensembl_havana	chr1:3630767-3652761:-	85	104	158	178	234	475
ENSG00000078900	15	TP73	protein_coding	ensembl_havana	chr1:3652516-3736201:+	0	0	0	2	0	1
ENSG00000227589	1	AL136528.1	lncRNA	havana	chr1:3658938-3668772:-	0	0	0	0	0	0
ENSG00000235131	1	AL136528.2	lncRNA	havana	chr1:3712200-3714298:-	0	2	0	0	0	0
ENSG00000227372	12	TP73-AS1	transcribed_unitary_pseudogene	havana	chr1:3735511-3747373:-	90	68	142	265	168	250
ENSG00000276189	1	AL136528.3	misc_RNA	ensembl	chr1:3736943-3737103:+	0	0	0	0	0	0
ENSG00000162592	10	CCDC27	protein_coding	ensembl_havana	chr1:3746460-3771645:+	0	0	0	0	0	0
ENSG00000235169	9	SMIM1	protein_coding	ensembl_havana	chr1:3772655-3775982:+	182	256	219	36	560	116
ENSG00000130764	10	LRRC47	protein_coding	ensembl_havana	chr1:3778559-3796498:-	997	891	792	1356	1751	1299
ENSG00000266075	2	RN7SL574P	misc_RNA	ensembl	chr1:3782815-3783111:+	0	0	0	0	0	13
ENSG00000272153	1	AL365330.1	lncRNA	havana	chr1:3785008-3785538:+	3	0	2	0	0	0
ENSG00000116198	13	CEP104	protein_coding	ensembl_havana	chr1:3812086-3857214:-	751	714	675	276	716	1036
ENSG00000169598	16	DFFB	protein_coding	ensembl_havana	chr1:3857267-3885429:+	3	17	50	56	0	4
ENSG00000198912	11	C1orf174	protein_coding	ensembl_havana	chr1:3889125-3900293:-	84	104	84	77	133	277
ENSG00000236423	6	LINC01134	lncRNA	havana	chr1:3900352-3917225:+	1	3	1	3	0	0
ENSG00000233304	7	LINC01346	lncRNA	havana	chr1:3940486-3955262:+	0	3	0	0	0	0
ENSG00000226374	3	LINC01345	lncRNA	havana	chr1:3944547-3949024:-	0	0	0	0	0	0
ENSG00000284668	2	LINC02780	lncRNA	havana	chr1:3976133-4012704:+	0	0	0	0	0	0
ENSG00000284703	1	AL805961.1	lncRNA	havana	chr1:4012921-4019508:-	0	0	7	0	0	0
ENSG00000229280	1	EEF1DP6	processed_pseudogene	havana	chr1:4175528-4175899:-	1	2	2	0	0	1
ENSG00000235054	4	LINC01777	lncRNA	havana	chr1:4412027-4424689:+	0	0	0	0	0	0
ENSG00000284694	1	AL355602.1	lncRNA	havana	chr1:4479131-4484375:-	3	0	0	0	0	0
ENSG00000227169	2	Z98747.1	lncRNA	havana	chr1:4551735-4552145:-	0	0	0	0	0	0
ENSG00000232596	3	LINC01646	lncRNA	havana	chr1:4571481-4594016:+	0	0	0	0	0	0
ENSG00000196581	11	AJAP1	protein_coding	ensembl_havana	chr1:4654609-4792534:+	1	20	0	178	0	85
ENSG00000287586	1	Z98886.1	lncRNA	havana_tagene	chr1:4730211-4734992:-	0	0	0	0	0	0
ENSG00000284739	1	BX005132.1	lncRNA	havana	chr1:4963954-4973298:-	0	0	0	0	0	0
ENSG00000284674	1	LINC02781	lncRNA	havana	chr1:4973381-4981568:+	0	0	0	0	0	0
ENSG00000231510	1	LINC02782	lncRNA	havana	chr1:5086459-5090899:-	0	0	0	0	0	0
ENSG00000284616	1	AL139823.1	lncRNA	havana	chr1:5301928-5307394:-	0	0	0	0	0	0
ENSG00000284692	2	Z98259.3	lncRNA	havana	chr1:5478736-5493057:-	0	0	0	1	0	0
ENSG00000284666	1	Z98259.2	lncRNA	havana	chr1:5480787-5482028:-	0	0	0	0	0	0
ENSG00000260972	1	Z98259.1	lncRNA	havana	chr1:5492978-5494674:+	0	0	0	0	0	0
ENSG00000283356	1	Z97988.2	unprocessed_pseudogene	havana	chr1:5554747-5554881:+	0	0	0	0	0	0
ENSG00000236948	2	AL365255.1	lncRNA	havana	chr1:5561709-5668295:-	0	0	0	0	0	1
ENSG00000264341	1	Z97988.1	miRNA	mirbase	chr1:5564071-5564143:+	0	0	0	0	0	0
ENSG00000264101	1	MIR4689	miRNA	mirbase	chr1:5862672-5862741:-	0	0	0	0	0	0
ENSG00000131697	18	NPHP4	protein_coding	ensembl_havana	chr1:5862811-5992473:-	59	97	131	23	0	103
ENSG00000069424	15	KCNAB2	protein_coding	ensembl_havana	chr1:5990927-6101193:+	46	29	77	2	0	20
ENSG00000116254	18	CHD5	protein_coding	ensembl_havana	chr1:6101787-6180321:-	1	4	0	0	0	0
ENSG00000285629	1	AL031847.2	protein_coding	havana	chr1:6159430-6197757:-	0	0	0	0	0	0
ENSG00000116251	11	RPL22	protein_coding	ensembl_havana	chr1:6185020-6209389:-	1290	1231	1418	2154	872	1699
ENSG00000226944	1	AL031847.1	lncRNA	havana	chr1:6204840-6205780:-	10	21	10	2	0	0
ENSG00000158286	13	RNF207	protein_coding	ensembl_havana	chr1:6205475-6221299:+	128	117	222	181	178	7
ENSG00000116237	16	ICMT	protein_coding	ensembl_havana	chr1:6221193-6235972:-	869	800	1271	1377	1240	1276
ENSG00000225077	3	LINC00337	lncRNA	ensembl_havana	chr1:6234692-6239444:+	1	1	0	0	0	0
ENSG00000173673	8	HES3	protein_coding	ensembl_havana	chr1:6244179-6245578:+	0	0	0	0	2	0
ENSG00000158292	7	GPR153	protein_coding	ensembl_havana	chr1:6247353-6261098:-	1	0	0	0	0	0
ENSG00000097021	19	ACOT7	protein_coding	ensembl_havana	chr1:6264269-6394391:-	140	145	291	88	1624	89
ENSG00000271746	1	AL031848.2	lncRNA	havana	chr1:6393555-6394391:+	0	0	0	0	0	0
