"gene_id","gene_version","gene_name","gene_biotype","gene_source","location","chromosome","logFC","logCPM","LR","PValue","FDR"
"ENSG00000279249",3,"AC007614.1","lncRNA","havana","chr16:49282021-49350504:+","16",8.76125003193561,0.0165054647234622,9.29054644711164,0.00230339440090045,0.488890631688934
"ENSG00000001617",12,"SEMA3F","protein_coding","ensembl_havana","chr3:50155045-50189075:+","3",8.29348201710523,-0.428752786748223,9.2801131602777,0.00231655117486601,0.488890631688934
"ENSG00000259598",1,"AC116158.2","lncRNA","havana","chr15:38524070-38534655:+","15",-8.19266618403537,-0.670304049436099,9.26893677450857,0.00233072962666104,0.488890631688934
"ENSG00000176046",9,"NUPR1","protein_coding","ensembl_havana","chr16:28532708-28539008:-","16",1.11643609413195,8.67466579913595,9.15724087322315,0.00247735817666149,0.4947653361643
"ENSG00000240065",8,"PSMB9","protein_coding","ensembl_havana","chr6:32844136-32859851:+","6",1.29580404481582,7.184446120816,9.156988648398,0.00247769966538088,0.4947653361643
"ENSG00000100911",16,"PSME2","protein_coding","ensembl_havana","chr14:24143362-24147570:-","14",0.989634369609009,7.88233038950378,9.11962904264864,0.00252881236322848,0.4947653361643
"ENSG00000267296",2,"CEBPA-DT","lncRNA","havana","chr19:33302857-33305054:+","19",6.91709387712399,-0.172501241642014,9.09726011185516,0.00255992683374245,0.4947653361643
"ENSG00000112742",10,"TTK","protein_coding","ensembl_havana","chr6:80003887-80042527:+","6",8.08299928653595,-0.66766239908967,9.08537156108464,0.00257662128938572,0.4947653361643
"ENSG00000109576",14,"AADAT","protein_coding","ensembl_havana","chr4:170060222-170091699:-","4",7.37082100154104,-0.207958205865838,9.05490724770987,0.00261990694597789,0.4947653361643
"ENSG00000185745",10,"IFIT1","protein_coding","ensembl_havana","chr10:89392546-89406487:+","10",4.21343373204379,9.06177296839049,9.02678336336311,0.0026605223462019,0.4947653361643
"ENSG00000278195",2,"SSTR3","protein_coding","ensembl_havana","chr22:37204237-37212477:-","22",8.10864133743958,-0.612255983624946,9.02233485196946,0.00266700501416253,0.4947653361643
"ENSG00000224973",6,"LARGE-AS1","lncRNA","havana","chr22:33725007-33750843:+","22",-7.0835842225754,0.339086984531667,9.01479669651203,0.00267802675170788,0.4947653361643
"ENSG00000167476",10,"JSRP1","protein_coding","ensembl_havana","chr19:2252252-2269759:-","19",8.48779108735315,-0.04117681058938,8.95949165642059,0.0027603168897839,0.4947653361643
"ENSG00000267416",1,"AC025048.4","lncRNA","havana","chr17:60079309-60088695:+","17",-6.95861342678353,-1.20484816718404,8.94853140575113,0.00277692742069781,0.4947653361643
"ENSG00000189180",16,"ZNF33A","protein_coding","ensembl_havana","chr10:38010650-38065088:+","10",-1.38242630402673,5.67459019380763,8.94627200339778,0.00278036419972874,0.4947653361643
"ENSG00000107036",12,"RIC1","protein_coding","ensembl_havana","chr9:5629025-5776557:+","9",-2.81001545350489,3.61489217670699,8.93497273828442,0.00279761644551476,0.4947653361643
"ENSG00000237522",1,"NONOP2","processed_pseudogene","havana","chr2:60936819-60938049:-","2",-7.36158569532239,-1.25957408126839,8.93039115937206,0.00280464275349041,0.4947653361643
"ENSG00000249437",8,"NAIP","protein_coding","ensembl_havana","chr5:70968166-71025339:-","5",-8.43103582327989,0.136270734757379,8.92103453811509,0.00281904778596294,0.4947653361643
"ENSG00000277151",1,"AL138820.1","lncRNA","havana","chr13:32782874-32788178:+","13",-8.14625294451373,-0.677916917565877,8.88654416573978,0.00287279970982448,0.4947653361643
"ENSG00000101265",16,"RASSF2","protein_coding","ensembl_havana","chr20:4780023-4823608:-","20",10.0545113146065,0.957949309881432,8.88128234598518,0.0028810910891458,0.4947653361643
"ENSG00000169169",14,"CPT1C","protein_coding","ensembl_havana","chr19:49690898-49713731:+","19",5.83367702162245,0.15460111651691,8.8687731459047,0.00290090033084732,0.4947653361643
"ENSG00000233220",3,"LINC00167","lncRNA","havana","chr11:130002938-130004356:+","11",-7.74830409793825,-0.462418452652358,8.86327980162823,0.00290964310696536,0.4947653361643
"ENSG00000114739",14,"ACVR2B","protein_coding","ensembl_havana","chr3:38453890-38493142:+","3",5.84274153821814,1.24383048785933,8.84465717716309,0.00293948106644083,0.4947653361643
"ENSG00000075945",13,"KIFAP3","protein_coding","ensembl_havana","chr1:169921326-170085208:-","1",-1.16337243821018,6.33478210773097,8.82681174393139,0.0029683653963017,0.4947653361643
"ENSG00000280054",1,"AC004241.5","TEC","havana","chr12:47728151-47730598:-","12",-8.1903969749319,-0.636360110759707,8.82539978232912,0.0029706630463635,0.4947653361643
"ENSG00000174469",23,"CNTNAP2","protein_coding","ensembl_havana","chr7:146116002-148420998:+","7",-2.87929170316144,3.94266723663366,8.81825907351726,0.0029823106459572,0.4947653361643
"ENSG00000155287",11,"SLC25A28","protein_coding","ensembl_havana","chr10:99610522-99620609:-","10",8.66372841436318,-0.418376930862942,8.80034096114628,0.00301174254371044,0.495146753875421
"ENSG00000104783",14,"KCNN4","protein_coding","ensembl_havana","chr19:43766533-43781257:-","19",9.63547673795567,0.998141369964074,8.74055503300763,0.00311209778422904,0.507077432717819
"ENSG00000281406",2,"BLACAT1","protein_coding","havana","chr1:205434885-205457091:-","1",6.69543756852922,1.63050910972704,8.69467476819417,0.00319141056953195,0.512790876257189
"ENSG00000268521",1,"VN1R83P","unprocessed_pseudogene","havana","chr19:21289554-21289998:-","19",-6.73845027859095,-1.23844932123729,8.68053833256565,0.00321625970415474,0.512790876257189
"ENSG00000185201",16,"IFITM2","protein_coding","ensembl_havana","chr11:307631-315272:+","11",0.941748989516282,9.75569701096731,8.62638898201234,0.00331327706022736,0.512790876257189
"ENSG00000172478",18,"MAB21L4","protein_coding","ensembl_havana","chr2:240886048-240896889:-","2",9.60538747868414,1.38584889097447,8.60082534159877,0.00336010693190733,0.512790876257189
"ENSG00000153002",12,"CPB1","protein_coding","ensembl_havana","chr3:148791102-148860187:+","3",-1.38524191594655,5.9019998000408,8.5950439571202,0.00337079076890945,0.512790876257189
"ENSG00000170836",12,"PPM1D","protein_coding","ensembl_havana","chr17:60600183-60666280:+","17",1.87031662177585,4.50690485620879,8.59454372936757,0.00337171679739953,0.512790876257189
"ENSG00000257443",1,"AC068305.2","lncRNA","havana","chr12:58920639-59064238:+","12",-5.85476169570096,-0.203190927525745,8.58714110667546,0.00338545090326644,0.512790876257189
"ENSG00000125531",7,"FNDC11","protein_coding","ensembl_havana","chr20:63547891-63556695:+","20",-7.94073169458665,-0.867311373788578,8.58252409746826,0.00339404563449473,0.512790876257189
"ENSG00000154451",14,"GBP5","protein_coding","ensembl_havana","chr1:89258950-89272804:-","1",8.36435646760482,0.267180979227055,8.5717318326181,0.00341422245423996,0.512790876257189
"ENSG00000128581",17,"IFT22","protein_coding","ensembl_havana","chr7:101310914-101321823:-","7",1.22390703676183,5.92955576225408,8.54771205144112,0.00345956778850264,0.512790876257189
"ENSG00000149582",16,"TMEM25","protein_coding","ensembl_havana","chr11:118531041-118547280:+","11",1.16996816098499,6.41369949771833,8.54390692751612,0.0034668072022632,0.512790876257189
"ENSG00000142627",13,"EPHA2","protein_coding","ensembl_havana","chr1:16124337-16156069:-","1",-1.22950592130033,5.83937205994831,8.53405889163592,0.00348561511478224,0.512790876257189
"ENSG00000130038",10,"CRACR2A","protein_coding","ensembl_havana","chr12:3606633-3764819:-","12",8.7273397596606,-0.311713272875718,8.52009644707015,0.00351245873922673,0.512790876257189
"ENSG00000160710",17,"ADAR","protein_coding","ensembl_havana","chr1:154582057-154628013:-","1",1.26783029308764,7.22192023374124,8.49961275067344,0.00355222074664813,0.514479971472871
"ENSG00000184979",10,"USP18","protein_coding","ensembl_havana","chr22:18150170-18177397:+","22",3.01359456345733,5.33286786004725,8.46182057721923,0.00362678654768334,0.518758472353618
"ENSG00000117298",16,"ECE1","protein_coding","ensembl_havana","chr1:21217247-21345572:-","1",1.22716913275238,7.18976056597226,8.44382251431573,0.00366285520517387,0.518758472353618
"ENSG00000189431",8,"RASSF10","protein_coding","ensembl_havana","chr11:13009316-13012119:+","11",-9.51117659075462,1.51004456746479,8.41937557495661,0.00371243269999963,0.518758472353618
"ENSG00000154734",15,"ADAMTS1","protein_coding","ensembl_havana","chr21:26835755-26845409:-","21",-1.41421724526173,5.76987655526016,8.41458573963926,0.0037222259871592,0.518758472353618
"ENSG00000141293",16,"SKAP1","protein_coding","ensembl_havana","chr17:48133442-48430275:-","17",9.6078624803039,0.450536987041993,8.41089156016115,0.00372979704302687,0.518758472353618
"ENSG00000145916",19,"RMND5B","protein_coding","ensembl_havana","chr5:178130996-178150568:+","5",1.5529819733095,5.02526770126491,8.39994594381093,0.00375232168067717,0.518758472353618
"ENSG00000054983",17,"GALC","protein_coding","ensembl_havana","chr14:87837820-87993665:-","14",-2.48235742826824,5.68806288251608,8.36910904828633,0.00381652683847275,0.523667656205183
"ENSG00000231298",7,"MANCR","lncRNA","havana","chr10:4650158-4678185:-","10",-6.26105528299494,1.16083780181239,8.31411369202625,0.00393381948025957,0.53570971610381
"ENSG00000187889",13,"FYB2","protein_coding","ensembl_havana","chr1:56718789-56819696:-","1",9.17474426734535,0.00899918778644285,8.30069024472276,0.00396300135207487,0.53570971610381
"ENSG00000250189",2,"AC097504.1","processed_pseudogene","havana","chr4:141405172-141407586:+","4",-7.41271308509071,-1.06049563555796,8.27952243611394,0.00400946729993689,0.536120151154102
"ENSG00000139547",7,"RDH16","protein_coding","ensembl_havana","chr12:56951431-56959374:-","12",9.61510271324382,0.448839827864428,8.27259510949622,0.00402479372612812,0.536120151154102
"ENSG00000138674",17,"SEC31A","protein_coding","ensembl_havana","chr4:82818509-82901166:-","4",-0.980432162943965,8.2384603700151,8.23924058541462,0.00409942808807207,0.538583815429599
"ENSG00000169660",16,"HEXD","protein_coding","ensembl_havana","chr17:82418318-82442645:+","17",3.49550096473971,2.35740044551704,8.237962758406,0.00410231521424266,0.538583815429599
"ENSG00000137959",16,"IFI44L","protein_coding","ensembl_havana","chr1:78619922-78646145:+","1",3.29729177399842,5.19406171537796,8.21965165708286,0.00414391539897036,0.540159372255787
"ENSG00000138138",13,"ATAD1","protein_coding","ensembl_havana","chr10:87751512-87841343:-","10",-1.11761941614204,6.22775214950282,8.17901583970686,0.00423777456866479,0.546850954043323
"ENSG00000162946",23,"DISC1","protein_coding","ensembl_havana","chr1:231626790-232041272:+","1",8.94613830544651,-0.0433539814758042,8.1715797325549,0.00425518304970968,0.546850954043323
"ENSG00000164879",7,"CA3","protein_coding","ensembl_havana","chr8:85373436-85449040:+","8",2.93945467125926,3.27447912889783,8.11152456520698,0.00439847187392563,0.550808843839016
"ENSG00000172006",12,"ZNF554","protein_coding","ensembl_havana","chr19:2819868-2836735:+","19",4.72787527912121,1.75766949477274,8.10865130967434,0.00440544918947795,0.550808843839016
"ENSG00000227496",3,"AC099066.2","lncRNA","havana_tagene","chr1:225700264-225752258:+","1",10.2852344202348,1.26858092138511,8.09251826769227,0.00444483592880273,0.550808843839016
"ENSG00000215114",10,"UBXN2B","protein_coding","ensembl_havana","chr8:58411359-58451501:+","8",-1.14277517375709,6.17573121992616,8.08551990837375,0.00446203284132334,0.550808843839016
"ENSG00000279315",1,"AL158212.4","TEC","havana","chr10:112831169-112832454:+","10",7.39366506941279,-1.2346253710068,8.08338157553771,0.00446730081947024,0.550808843839016
"ENSG00000237126",8,"AC073254.1","lncRNA","havana","chr2:232580948-232611971:-","2",-8.34428978900808,-0.760994645533031,8.06579086463355,0.0045108781889078,0.550808843839016
"ENSG00000249599",2,"BMPR1B-DT","lncRNA","havana_tagene","chr4:94743668-94757681:-","4",8.14079960515356,-0.499415206310089,8.05789394187981,0.00453058173226515,0.550808843839016
"ENSG00000282849",1,"AL359834.1","lncRNA","havana","chr1:200478020-200483604:-","1",-7.62194665363294,-1.31751257049142,8.03880126351073,0.00457858261443931,0.550808843839016
"ENSG00000287672",1,"AC003086.1","lncRNA","havana_tagene","chr7:91880791-91886490:+","7",7.51343903170075,-1.26477389820499,8.03651043940859,0.00458437666585728,0.550808843839016
"ENSG00000257027",1,"AC010186.3","lncRNA","havana","chr12:9658567-9662085:+","12",-6.81736579667669,-1.59798612981098,8.03515438438436,0.00458780997663052,0.550808843839016
"ENSG00000268895",6,"A1BG-AS1","lncRNA","havana","chr19:58347718-58355455:+","19",6.55517654564203,-0.845414207431988,7.98112315684669,0.00472676075659952,0.563693130998968
"ENSG00000111530",13,"CAND1","protein_coding","ensembl_havana","chr12:67269358-67319953:+","12",-1.10838555789679,6.52312609501859,7.9696155546153,0.00475690405906302,0.563693130998968
