"gene_id","gene_version","gene_name","gene_biotype","gene_source","location","chromosome","logFC","logCPM","F","PValue","FDR"
"ENSG00000174469",23,"CNTNAP2","protein_coding","ensembl_havana","chr7:146116002-148420998:+","7",-2.94848155800087,3.94229444531064,18.2096668353035,0.00520885133264493,0.642179412659957
"ENSG00000164506",14,"STXBP5","protein_coding","ensembl_havana","chr6:147204425-147390476:+","6",6.59028638762922,2.65678070644569,18.7887535807663,0.00523072300860243,0.642179412659957
"ENSG00000146433",8,"TMEM181","protein_coding","ensembl_havana","chr6:158536436-158635428:+","6",-1.74779574080336,6.03679294636028,18.1085964222351,0.00529325208629987,0.642179412659957
"ENSG00000128581",17,"IFT22","protein_coding","ensembl_havana","chr7:101310914-101321823:-","7",1.22883809919432,5.92967264894217,18.071439169909,0.00531756369043038,0.642179412659957
"ENSG00000185352",8,"HS6ST3","protein_coding","ensembl_havana","chr13:96090839-96839562:+","13",9.84736415257586,1.34980372603727,17.0690612526139,0.00533546034462839,0.642179412659957
"ENSG00000038427",16,"VCAN","protein_coding","ensembl_havana","chr5:83471618-83582303:+","5",3.17552231611368,2.17400499389773,15.284819857992,0.00534146184174747,0.642179412659957
"ENSG00000175445",17,"LPL","protein_coding","ensembl_havana","chr8:19901717-19967259:+","8",11.642598056432,2.49385836060703,29.8621012583948,0.0053427788183431,0.642179412659957
"ENSG00000204592",9,"HLA-E","protein_coding","ensembl_havana","chr6:30489509-30494194:+","6",0.734978833465131,10.8060060313167,18.019875075621,0.00535224856788422,0.642179412659957
"ENSG00000170836",12,"PPM1D","protein_coding","ensembl_havana","chr17:60600183-60666280:+","17",1.90425949217189,4.50720050511292,17.8071946809743,0.00552335551589328,0.642179412659957
"ENSG00000006740",17,"ARHGAP44","protein_coding","ensembl_havana","chr17:12789498-12991643:+","17",3.41406674905734,1.14550434645966,13.842465892678,0.00557916843517921,0.642179412659957
"ENSG00000075945",13,"KIFAP3","protein_coding","ensembl_havana","chr1:169921326-170085208:-","1",-1.15375704831181,6.33482024592921,17.6950777997425,0.00558631796518629,0.642179412659957
"ENSG00000261105",6,"LMO7-AS1","lncRNA","havana","chr13:75604700-75635994:-","13",2.77969415980395,1.69534422728646,14.0428144297187,0.00564648168995648,0.642179412659957
"ENSG00000180694",14,"TMEM64","protein_coding","ensembl_havana","chr8:90621995-90791632:-","8",-3.81674606691879,3.14458389253981,14.8832305848617,0.00565884931717702,0.642179412659957
"ENSG00000236204",6,"LINC01376","lncRNA","havana","chr2:18986451-19348067:-","2",-9.92946554114679,0.911061080589116,20.3386315011819,0.00570656263995621,0.642179412659957
"ENSG00000267787",7,"AC027097.2","lncRNA","havana","chr18:57639455-57738603:+","18",-3.43528672464796,0.736475953022864,14.7191893490639,0.00574532484412705,0.642179412659957
"ENSG00000160932",11,"LY6E","protein_coding","ensembl_havana","chr8:143017982-143023832:+","8",1.33647560919895,6.61646134393754,17.4431378802949,0.00577836351526972,0.642179412659957
"ENSG00000138138",13,"ATAD1","protein_coding","ensembl_havana","chr10:87751512-87841343:-","10",-1.11810061208351,6.22766442959777,17.3399872224458,0.00585690122989329,0.642179412659957
"ENSG00000089486",17,"CDIP1","protein_coding","ensembl_havana","chr16:4510669-4538828:-","16",3.92927841166852,1.43546264966021,13.1903953257808,0.00590188601252148,0.642179412659957
"ENSG00000115221",12,"ITGB6","protein_coding","ensembl_havana","chr2:160099667-160200313:-","2",-0.873963667949175,8.05549003379217,17.2618658168701,0.00591782097123669,0.642179412659957
"ENSG00000025708",14,"TYMP","protein_coding","ensembl_havana","chr22:50525752-50530032:-","22",0.795928679657887,8.73602359340853,17.2382228156779,0.00593661118311442,0.642179412659957
"ENSG00000224078",15,"SNHG14","lncRNA","havana","chr15:24978583-25420336:+","15",-2.28765651412254,3.77788404687314,17.2563676949306,0.00598766246799686,0.642179412659957
"ENSG00000215114",10,"UBXN2B","protein_coding","ensembl_havana","chr8:58411359-58451501:+","8",-1.14920007534404,6.17551968305907,17.1124940055611,0.00603942419034972,0.642179412659957
"ENSG00000279459",1,"AP001271.2","TEC","havana","chr11:70603304-70604859:+","11",-5.72548494135541,1.50797417898706,15.8120390528442,0.00608690349182728,0.642179412659957
"ENSG00000145916",19,"RMND5B","protein_coding","ensembl_havana","chr5:178130996-178150568:+","5",1.54604932122238,5.0249683028266,17.0436653227468,0.00610089831116714,0.642179412659957
"ENSG00000111331",13,"OAS3","protein_coding","ensembl_havana","chr12:112938444-112973251:+","12",3.3556155869086,7.35056405775737,16.9702350282297,0.00615887478958768,0.642179412659957
"ENSG00000270804",1,"AC010326.4","transcribed_processed_pseudogene","havana","chr19:57867885-57868834:+","19",-6.37472458091007,-0.0205130829019153,16.6228200454687,0.00619467632940345,0.642179412659957
"ENSG00000240541",3,"TM4SF1-AS1","lncRNA","havana","chr3:149377778-149386583:+","3",2.8905615556583,0.809833025374294,12.8184752430154,0.00624208353185757,0.642179412659957
"ENSG00000237638",2,"LINC02245","lncRNA","havana","chr2:64901840-65056168:-","2",-4.73557936057696,0.535376618387935,15.8993301630038,0.00628337601539205,0.642179412659957
"ENSG00000133316",15,"WDR74","protein_coding","ensembl_havana","chr11:62832342-62841809:-","11",1.21469462363975,5.58476443462743,16.5274348404018,0.0065462317619492,0.642179412659957
"ENSG00000135119",14,"RNFT2","protein_coding","ensembl_havana","chr12:116738178-116853631:+","12",4.84475895209206,0.561179824667606,15.0471731805249,0.00656408033676739,0.642179412659957
"ENSG00000149582",16,"TMEM25","protein_coding","ensembl_havana","chr11:118531041-118547280:+","11",1.17038010764964,6.41364933959956,16.4925369702425,0.00657699540038252,0.642179412659957
"ENSG00000107077",18,"KDM4C","protein_coding","ensembl_havana","chr9:6720863-7175648:+","9",-1.65622483010286,4.57336357772189,16.3838549052196,0.00669480651600029,0.642179412659957
"ENSG00000181450",18,"ZNF678","protein_coding","ensembl_havana","chr1:227563543-227677443:+","1",-4.00935087467428,3.19564242795883,15.1752381128359,0.00671938073503296,0.642179412659957
"ENSG00000197860",10,"SGTB","protein_coding","ensembl_havana","chr5:65665928-65723035:-","5",3.27978682786596,2.41081275794071,12.4964120136041,0.00672724566364418,0.642179412659957
"ENSG00000115966",17,"ATF2","protein_coding","ensembl_havana","chr2:175072250-175168382:-","2",-1.51790011742097,4.79300311382093,16.2546287508987,0.00681256208629835,0.642179412659957
"ENSG00000113205",5,"PCDHB3","protein_coding","havana","chr5:141100473-141103827:+","5",-3.09067208135371,-0.0132575543390356,13.5635551856256,0.00684942133429518,0.642179412659957
"ENSG00000278206",1,"AL031320.2","lncRNA","havana","chr6:143484979-143507327:+","6",9.41344733142547,1.05878467058571,18.8066460749473,0.00686672762705971,0.642179412659957
"ENSG00000134508",12,"CABLES1","protein_coding","ensembl_havana","chr18:23134564-23260467:+","18",6.0585142622401,1.21552394519916,14.6402535463872,0.00689988912920708,0.642179412659957
"ENSG00000280670",3,"CCDC163","protein_coding","havana","chr1:45493866-45500079:-","1",9.81507940058532,1.1220477959513,16.5394702360629,0.00705037772250261,0.642179412659957
"ENSG00000229852",4,"AC019205.1","lncRNA","havana","chr6:73263212-73301789:+","6",7.71602534918413,-0.58408909425035,15.937329672451,0.00706228445946233,0.642179412659957
"ENSG00000104415",14,"CCN4","protein_coding","ensembl_havana","chr8:133191039-133231690:+","8",9.58714155900547,0.898766606006905,15.5676922241009,0.00708088606141714,0.642179412659957
"ENSG00000146733",14,"PSPH","protein_coding","ensembl_havana","chr7:56011051-56051604:-","7",3.6107330049448,2.7234384804961,13.7947955255731,0.00711826998564947,0.642179412659957
"ENSG00000111711",10,"GOLT1B","protein_coding","ensembl_havana","chr12:21501781-21518408:+","12",-1.14035288283765,5.7911999536991,15.8085266573534,0.00724822997707175,0.642179412659957
"ENSG00000189180",16,"ZNF33A","protein_coding","ensembl_havana","chr10:38010650-38065088:+","10",-1.32212801372458,5.67477639562649,15.7932675671037,0.00726630481826538,0.642179412659957
"ENSG00000136167",14,"LCP1","protein_coding","ensembl_havana","chr13:46125920-46211871:-","13",-1.58276485144514,4.54387518542966,15.7470544100447,0.00732953694476195,0.642179412659957
"ENSG00000183098",11,"GPC6","protein_coding","ensembl_havana","chr13:93226807-94408020:+","13",-5.72846973658233,1.53086149391707,14.7708280927399,0.00733669974456458,0.642179412659957
"ENSG00000240065",8,"PSMB9","protein_coding","ensembl_havana","chr6:32844136-32859851:+","6",1.30053944753204,7.18476005274934,15.7190177666471,0.00734115946033527,0.642179412659957
"ENSG00000197852",12,"INKA2","protein_coding","ensembl_havana","chr1:111680630-111755824:-","1",4.9755834262759,1.51510302796711,12.6434891029511,0.00738636319545073,0.642179412659957
"ENSG00000108352",12,"RAPGEFL1","protein_coding","ensembl_havana","chr17:40177010-40195656:+","17",-8.55404960482577,-0.324820942939965,20.7471702202212,0.00746253422931727,0.642179412659957
"ENSG00000131931",8,"THAP1","protein_coding","ensembl_havana","chr8:42836674-42843325:-","8",-3.35676409589709,4.09764446423067,15.5258781722437,0.00748812130329467,0.642179412659957
"ENSG00000102524",11,"TNFSF13B","protein_coding","ensembl_havana","chr13:108251240-108308484:+","13",6.06801968045439,2.90660514527524,15.2674422474733,0.00757128652684497,0.642179412659957
"ENSG00000125846",15,"ZNF133","protein_coding","ensembl_havana","chr20:18288283-18316996:+","20",1.74405583733154,4.70869852926556,15.5186504408002,0.00758014297503021,0.642179412659957
"ENSG00000164209",17,"SLC25A46","protein_coding","ensembl_havana","chr5:110738136-110765161:+","5",-1.37497366707148,5.28771812507574,15.4984562835812,0.00758543195107938,0.642179412659957
"ENSG00000085563",15,"ABCB1","protein_coding","ensembl_havana","chr7:87503017-87713323:-","7",-1.63699708931519,4.62796025073867,15.4899078410281,0.0076141642313398,0.642179412659957
"ENSG00000119403",15,"PHF19","protein_coding","ensembl_havana","chr9:120855651-120894896:-","9",8.71958984004669,0.120820960834603,16.9741957526915,0.00765425458805753,0.642179412659957
"ENSG00000198298",13,"ZNF485","protein_coding","ensembl_havana","chr10:43606419-43617904:+","10",3.22449492266824,2.5888706527779,14.1354765583558,0.0076851040040249,0.642179412659957
"ENSG00000153904",20,"DDAH1","protein_coding","ensembl_havana","chr1:85318481-85578363:-","1",-1.32903450287398,5.7515294974812,15.3948213345688,0.00769913691821907,0.642179412659957
"ENSG00000196922",10,"ZNF252P","transcribed_unprocessed_pseudogene","havana","chr8:144973589-145002895:-","8",-4.13942041405235,2.38589876358468,13.1223503782408,0.00772266889840573,0.642179412659957
"ENSG00000113361",13,"CDH6","protein_coding","ensembl_havana","chr5:31193686-31329146:+","5",-1.99316508858706,4.02408562346799,15.4322725959087,0.00774568444475219,0.642179412659957
"ENSG00000164879",7,"CA3","protein_coding","ensembl_havana","chr8:85373436-85449040:+","8",2.77756948177632,3.27437642486887,15.2587609238753,0.00776796150452123,0.642179412659957
"ENSG00000225062",1,"CATIP-AS1","lncRNA","havana","chr2:218366665-218367835:-","2",8.16865055295219,-0.204513690222689,16.7528802692264,0.00792005525338217,0.642179412659957
"ENSG00000233509",2,"ZNF197-AS1","lncRNA","havana","chr3:44617128-44624797:-","3",7.55179507357593,-0.332310974270331,14.4471172817499,0.00793980639479373,0.642179412659957
"ENSG00000258788",3,"CKS1BP1","processed_pseudogene","havana","chr14:96223108-96223347:+","14",2.94618776622026,-0.0243204999519797,12.6540465561154,0.00795881384605381,0.642179412659957
"ENSG00000115524",17,"SF3B1","protein_coding","ensembl_havana","chr2:197388515-197435079:-","2",-0.826961480553296,8.01640398643837,15.0678636784109,0.0080791817604153,0.642179412659957
"ENSG00000143776",18,"CDC42BPA","protein_coding","ensembl_havana","chr1:226989865-227318474:-","1",-2.31665190345709,3.83175702100612,15.0947758392893,0.00811204254152435,0.642179412659957
"ENSG00000163497",3,"FEV","protein_coding","ensembl_havana","chr2:218981087-218985184:-","2",5.37875422434099,1.62152230163639,15.6416566310106,0.00812032800523432,0.642179412659957
"ENSG00000126709",15,"IFI6","protein_coding","ensembl_havana","chr1:27666064-27672198:-","1",3.23789158706775,8.71161090732922,15.0192196929679,0.00813944377846192,0.642179412659957
"ENSG00000102466",15,"FGF14","protein_coding","ensembl_havana","chr13:101710804-102402457:-","13",9.63786556583054,0.726991417756289,17.9442846719984,0.00813949150739508,0.642179412659957
"ENSG00000160325",14,"CACFD1","protein_coding","ensembl_havana","chr9:133459965-133470848:+","9",1.3886687941245,6.86010641430894,15.0005024696922,0.00816165175850851,0.642179412659957
"ENSG00000164329",13,"TENT2","protein_coding","ensembl_havana","chr5:79612120-79686648:+","5",-1.69675294670937,4.92648530373971,15.0106664751696,0.0081697220260982,0.642179412659957
"ENSG00000182544",9,"MFSD5","protein_coding","ensembl_havana","chr12:53251251-53254406:+","12",1.09197827803714,6.4104822593377,14.9581857159178,0.00821393570251141,0.642179412659957
"ENSG00000115286",20,"NDUFS7","protein_coding","ensembl_havana","chr19:1383527-1395589:+","19",1.11555604997417,6.45246721481079,14.9434097408434,0.0082322119272193,0.642179412659957
"ENSG00000133874",2,"RNF122","protein_coding","ensembl_havana","chr8:33547754-33567128:-","8",-3.41507927985474,0.387940174409194,12.0721213287779,0.00824411394686775,0.642179412659957
"ENSG00000108061",12,"SHOC2","protein_coding","ensembl_havana","chr10:110919593-111013666:+","10",-1.18743679812931,5.8242649840513,14.9061133350594,0.00828094066453849,0.642179412659957
"ENSG00000187608",10,"ISG15","protein_coding","ensembl_havana","chr1:1001138-1014540:+","1",3.71863299760593,8.20985075252087,14.9003726108796,0.00828841270317964,0.642179412659957
"ENSG00000225439",3,"BOLA3-AS1","lncRNA","havana","chr2:74148007-74151952:+","2",7.41494706632891,0.881598782942439,13.9264956959189,0.00832710446304468,0.642179412659957
"ENSG00000189419",8,"SPATA41","lncRNA","havana","chr15:100344047-100350725:-","15",-9.48099653867357,0.271882743845537,23.278607348622,0.00834376243422902,0.642179412659957
"ENSG00000111530",13,"CAND1","protein_coding","ensembl_havana","chr12:67269358-67319953:+","12",-1.10918608317109,6.52324530500113,14.8137686267755,0.00839549833873901,0.642179412659957
"ENSG00000140853",15,"NLRC5","protein_coding","ensembl_havana","chr16:56989485-57083531:+","16",4.41425546091358,3.22911729725626,12.8451387144464,0.00842196715864046,0.642179412659957
"ENSG00000114455",13,"HHLA2","protein_coding","ensembl_havana","chr3:108296490-108378285:+","3",-1.0310149085552,6.2094515957573,14.7647792888467,0.00845782824289297,0.642179412659957
"ENSG00000184979",10,"USP18","protein_coding","ensembl_havana","chr22:18150170-18177397:+","22",3.37360112081775,5.3348794837751,14.5392103844851,0.00849951450646528,0.642179412659957
"ENSG00000198677",12,"TTC37","protein_coding","ensembl_havana","chr5:95461755-95554977:-","5",-1.27030466291855,5.28312221490802,14.7214712918208,0.00852392557586505,0.642179412659957
"ENSG00000247809",9,"NR2F2-AS1","lncRNA","havana","chr15:96110040-96327361:-","15",6.30999006334376,1.22536861423708,15.4498137954978,0.00853842213476958,0.642179412659957
"ENSG00000171877",21,"FRMD5","protein_coding","ensembl_havana","chr15:43870761-44195271:-","15",-5.58198887144616,1.16250311984173,14.7931347974914,0.00860964180811121,0.642179412659957
"ENSG00000154734",15,"ADAMTS1","protein_coding","ensembl_havana","chr21:26835755-26845409:-","21",-1.42362805018306,5.76971002178546,14.622326512443,0.00864475696735358,0.642179412659957
"ENSG00000074966",11,"TXK","protein_coding","ensembl_havana","chr4:48066393-48134250:-","4",-4.09149649023537,2.02852928448829,11.6529572576733,0.0086940884754907,0.642179412659957
"ENSG00000286828",1,"AC008883.3","lncRNA","havana_tagene","chr5:97183827-97216074:+","5",10.2085369081275,1.12638183192028,22.1658183168555,0.00869978321980227,0.642179412659957
"ENSG00000196376",11,"SLC35F1","protein_coding","ensembl_havana","chr6:117907264-118317676:+","6",-6.81354384814546,0.666911644314823,22.1425524109678,0.00870213330335937,0.642179412659957
"ENSG00000164944",12,"VIRMA","protein_coding","ensembl_havana","chr8:94487689-94553529:-","8",-1.65750761263022,4.36583936103212,14.5954783958948,0.00871765984840471,0.642179412659957
"ENSG00000180233",11,"ZNRF2","protein_coding","ensembl_havana","chr7:30284597-30367689:+","7",-5.76956057105029,0.614033462495217,13.5265970041153,0.00871883907435305,0.642179412659957
"ENSG00000182013",18,"PNMA8A","protein_coding","ensembl_havana","chr19:46466491-46471563:-","19",-1.91199191344892,3.83145634923829,14.5317450156128,0.00882231496359542,0.642179412659957
"ENSG00000117298",16,"ECE1","protein_coding","ensembl_havana","chr1:21217247-21345572:-","1",1.23037752259537,7.18973757492709,14.4790964733399,0.00883488423660091,0.642179412659957
"ENSG00000182054",10,"IDH2","protein_coding","ensembl_havana","chr15:90083045-90102477:-","15",0.690375190358429,9.46138536146837,14.4676166179349,0.00885011342772469,0.642179412659957
"ENSG00000164236",12,"ANKRD33B","protein_coding","ensembl_havana","chr5:10564070-10657816:+","5",-7.17138298649761,1.31960377689305,13.4783294833424,0.00888340757966187,0.642179412659957
"ENSG00000196652",11,"ZKSCAN5","protein_coding","ensembl_havana","chr7:99504651-99534700:+","7",-3.14065105945451,2.14727006533423,12.7073844380527,0.00895154275670309,0.642179412659957
"ENSG00000176024",18,"ZNF613","protein_coding","havana","chr19:51927147-51948759:+","19",2.57184341209354,3.51247475455927,14.387220949436,0.00897145093619048,0.642179412659957
"ENSG00000111885",7,"MAN1A1","protein_coding","ensembl_havana","chr6:119177205-119349761:-","6",2.70782667348663,2.61109450792423,11.2312960338167,0.00900236568391701,0.642179412659957
"ENSG00000163915",7,"IGF2BP2-AS1","lncRNA","havana","chr3:185712528-185729787:+","3",9.91629424578294,0.941333358438025,20.7795413223645,0.00903097984888153,0.642179412659957
"ENSG00000101680",15,"LAMA1","protein_coding","ensembl_havana","chr18:6941742-7117797:-","18",10.0244992177454,0.944520761785557,21.6468582711701,0.00903719422438395,0.642179412659957
"ENSG00000274317",2,"LINC02334","lncRNA","havana_tagene","chr13:37934298-38066444:+","13",-9.16182809751884,-0.0156948062282745,22.2294594238482,0.0090491054801027,0.642179412659957
